,Tweet,HS_Gender
102,user user goblok bani cebong tukang tipu jilat kuasa gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,0
103,user user user user cebong sewot,0
104,2 gera tekan kerja keras total tingkat potensi bangsa,0
105,gubernur djarot mayoritas ai politik dewan wakil rakyat daerah dukung ahok djarot payah ya user uniform resource locator,0
106,user rezim rusak sistem sibuk cari cari salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang,0
107,orang orang tuding antek asing asing sungguh be epuk tangan,0
108,user anti asing,0
109,selamat user moga kiprah tingkat nasional,0
110,sih ulama,0
111,user ketapang tenaga kerja asing asing kerja usaha masuk pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil,0
113,user bom surat harga syariah negara,0
114,user istirahat presiden momentum saksi telinga mata rapat bentuk pacitan 2003,0
115,1979 house select committee on assassination hsca temu cacat investigasi laku fbi warren commission hsca simpul tembak laku konspirasi,0
116,user asa genap 1 17 april 2018 gelar hajat pilih presiden acara negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0
117,user ian pantat,0
118,user user orang pintar agama agama nista hujat orang orang bodoh orang maaf lahir idiot harga cipta tuhan iblis pintar licik,0
119,daftar calon presiden buka agustus 2018 normatif politikus partai demokrasi indonesia juang paham,0
120,sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong uniform resource locator,0
121,gue mantan mantan gue sedih pikir tidur lo gue anak berengsek laki laki,0
122,cina usak bangsa usir tuju,0
123,konstitusional hak rakyat woiii nih plonga plongo laku otoriter,0
124,mari wujud pilih kepala daerah kota bengkulu 2018 aman damai cok adem86 98heru,0
125,serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong hucu nusantara,0
126,nyata moeldoko bukti istana takut bangkit umat islam,0
127,cowok jago drasex ngentot adik luvian,0
128,user kroasia kafir tau ajar kafir lupa kapling sorga,0
130,gue tau culun takut orang ubah perlahan lahan buruk,0
131,perang salib raja afrika babilonia peluk kristen tobaco peluk islam,0
132,kejar setor bangsat rupiah turun,0
133,moga tindak lapor hadap nista agama adek armando laku langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat user,0
134,user user user user user user user user bangkai hajar,0
135,user user user onta mati minum,0
136,uniform resource locator ahok tng was was hidup user user user user user user user,0
137,sul teng ekses akibat sandera hutang cina,0
138,6 pride yunani hyper phania angkuh harga sombong kenal hubris vanity harga ubah manusia sombong sombong manusia kutuk mata tuhan manusia cinta,0
139,be anya tuju hati logika hati tenang be anya logika hati sedih ku cari wasiat beliau tinggal asing asing mata manusia duhai,0
140,user be aji nya komisi berantas korupsi era era komitmen berantas korupsi surat pemberitahuan era susilo bambang yudhoyono,0
141,user admin tolol ai tolol ai tolol orang tolol,0
142,user ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak uniform resource locator,0
143,video tenaga kerja asing malaysia kutip nyata user,0
144,ppp buru buru tolak wacana pilih kepala daerah dewan wakil rakyat daerah,0
145,random pagi pagi samper meja kerja pakai bedak sih biar muka bersih istri butek ku pakai air wudhu ku kristen,0
146,user user gue kampret,0
147,memek lonte sodok kontol gede,0
148,jokowi mundur user tutup uniform resource locator,0
150,user amin racist nada nada ratna sih paiiit nada sih onta nada sih lobang anus takut oi oi habis obat tenang ya,0
152,kabinet beranta pecah belah rezim,0
153,ih pintar orang politik kaca oi tampang k k orang bego user wkwk,0
154,tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,0
155,user user percaya mulut buaya mu bawang,0
156,2019 susilo bambang yudhoyono prabowo lawan mega jokowi peristiwa 2004 ulang partai demokrasi indonesia juang incumbent kalah mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono lawan prabowo mk pilih presiden selesai 3 poros pilih presiden mk salah lawan,0
158,bebal,0
159,5 indonesia negara populasi muslim dunia islam rupa musuh barat amp komunis hambat agenda obviously,0
160,user user umuh persib persib kunyuk,0
161,user user film muslim pilih ahok mati salat jamin laris,0
162,banu banu yahudi beda banu banu kristen suriah salah beda banu yahudi pakai eloah elohim yahwe suriah pakai alah allah,0
163,user eh muka merah merah cendol setan cuaca nih panas,0
164,berita saracen diframing katak tim prabowo anies sandi media tumpah sakit hati katak cebong ehe,0
165,giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah sihombing rabu 11 april 2018 laksana sambang desa tatap muka pantau aman tertib masyarakat tuju pilih kepala daerah 2018 desa lobusiregar i rumah rudi panjaitan helm siahaan hotman siahaan,0
166,sayang banget ya lihat perempuan kayak status tempel laki laki aduh nagita slavina blak blak ayu ting ting kampung viva uniform resource locator,0
167,user lupa kang umat katolik minoritas perhati gubernur golong golong,0
168,user user user user cebong bilang kemarin eyel situ paksa cebong,0
169,user lemah gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan durno,0
170,selamat kakak kali raya makna kali,0
171,foto bisu milik a i susah ikan sepe i susah ikan putus,0
172,user wkwk alam muncul grub wa a bani abdi had a k a mbah mek kenal orang,0
173,ayah pres badar nuqaba boekkk nih hebat bidang agama x takut natural killer tegur member lawak hambar lawak orang jom gerak gera badan chubby,0
174,orang anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allah ya rahman tun abdul razak ds user,0
175,user user haha sialaaan nih sih user nyata lapar presiden sikat,0
176,user user user nasihat kali ugal ugalan nih rezim eh negeri keburu hancur ekonomi moral meni kacaoooooo,0
177,user alah silit kebelet kasihan orang sayang media sosial gue sadar instansi kemarin gue cerita duuuhhh,0
178,user iya cacat,0
179,user 2019 rakyat makan aspal beton solusi jitu miskin ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme,0
180,user baca harun yahya belot kubu yahudi freemason nya kadang suka percaya,0
181,maju ulama gerak tokoh agama indonesia,0
182,user user user user user user user user user user user user user user user user user user user user user,0
183,pe anyaan mudah ya keras keras nama,0
184,user kemarin hujat harap dasar bani kampret,0
185,user fitnah sila ban user apollinaris darmawan al alquran kitab sampah,0
186,monyet koloe bilang saudara ogah hidup ya hati comberan user,0
187,body lufra scrub bahan dasar lidah buaya melembabkan kulit amp cahaya info 087812026394,0
188,user cacat,0
189,user user anut bumi datar teori bumi bulat orang asing notabene musuh,0
190,becak warga binjai sita tenda be uliskan partai adil sejahtera radang bukti perintah panik takut,0
191,jokowi mundur,0
192,musyawarah nasional alim ulama ppp semarang hasil rekomendasi syarat kriteria kriteria calon wakil presiden damping jokowi 2019,0
193,user cerah nya gagal anak ekonomi wkwk,0
194,user user user user kafan budaya yahudi umat islam klaim,0
195,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,0
196,user user tanda nya pilih kepala daerah pilih presiden,0
197,misi 4 bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur,0
198,tabah pasang taufik puan nurliyana wajar contoh jom sumbang ringan beban pasang come on twitter do your pikir badan standar nasional 0510541000096745 bank islam 05058020145124 nurliyana bosan abdul razif,0
199,user sih tai doang belaganya langit karma idol flop gue tertawa keras,0
200,user user celeng kangen gue iya,0
201,budaya yuk unjung purwoke o mumpung even rakyat,0
202,presiden dana taktis rakyat program program perintah program bangun infrastruktur kip kartu indonesia sehat ifikat tanah hutan sosial bahan bakar minyak 1 harga padat karya,0
203,user amin ya allah tim latih ular rawa rawa sungai gede musuh buaya wkwk,0
204,user user maju maki mama bolot,0
205,gerombol kadal jidat gosong suka ribut gerombol salah pura pura budek dasar gerombol cingkrang uniform resource locator,0
206,user user user gentar takut hadap kafir,0
207,user user saracen akun kritis anggap saracen aneh jokowi,0
208,user bego teman gue najis kesal gue,0
209,user user kafir kristen ulah,0
210,user tau bau bau cir sipit buluk,0
211,user kayak pegang mucikari,0
212,guru tk darma wanita desa plumbon porong deklarasi anti hoaks benci isu sarah dukung pilih kepala daerah damai,0
213,user anjir seram main,0
214,user kayak bank te entu bilang jual uang asing tukar rupiah,0
215,user user user user onta yaman nih gue depo asi,0
216,hati hati berita pilih kepala daerah bau hoaks kunjung,0
217,user anak cocot ya user,0
218,user hoaks ya fahri ambil berita tuyg tong sampah ambil screenshoot tau berita,0
219,mantap direct message baris serba bang user,0
220,nyata lebah suka bunga makan bangkai gue penasaran madu nya kayak,0
221,user user indonesia mundur bentuk,0
222,user user user user dongok bilang hacker haha,0
223,user user user user haha blunder cebong protein energy malnutrition pusat alas ham rakyat aceh ya kali coba perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat a,0
224,bangsat gue selam 1,0
225,pancing pancing urus nista bicara paham fiksi kitab suci,0
226,user user user user cebong kacung teman gue dungu tulang sumsum buang buang energi debat,0
227,user ai korupsi sapi goblok,0
229,user user mata kafir wkwk,0
230,user facebook anjir lupa,0
231,user sih bilang alah kontol,0
232,nikita mirzani pakai hijab bicara cebang cebong fantasi uh ah,0
233,user tatap alih arah enggan tatap pria curiga pe kali gaduh suasana angie temu orang pria asing tidur sofa sepe i,0
234,lahir kembang gera komunis indonesia pisah buah organisasi nama indische sociaal democratische vereeniging,0
235,shaheizy wajah baharu calpis,0
236,ya serah balas fokus kerja kerja tugas proyek seni budaya 2 langsung kumpul presentasi syukur nilai muas proyek,0
237,bro,0
238,laku bodoh user masuk kategori senang laku sontoloyo user menganggu bangsa laku naif user langsung bentuk intimidasi hadap ulama laku user,0
239,monyet turun mukim warga cibadak sukabumi uniform resource locator,0
240,user kotor bahagia warga cebong nge i,0
241,giveaway taplak meja menang the rich chenle,0
242,user buka busuk kubu anies sandi menang berkah uniform resource locator prabowo usaha cuci tangan,0
243,user user wkwk bodoh bang,0
244,user user kayak orang bego bro b ego,0
245,menteri lingkung hidup hutan upaya perata ekonomi tora kawasan hutan hutan sosial tribun medan,0
246,user user mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,0
247,user user orang orang bego minum amp makan kotor onta otak nya somplak,0
248,kuak strategi kampanye tim menang anies sandi uniform resource locator,0
249,warga badui selesai tradisi seba pendopo perintah kabupaten lebak be emu gubernur banten wahidin halim sabtu 21 4,0
250,lembaga lembaga anti korupsi bubar sentuh kuasa gilir komisi berantas korupsi partai demokrasi indonesia juang ai politik kuasa pulang otot bubar komisi berantas korupsi,0
251,user user user mas sudut salah agama t entu bahaya rocky cerdik susun kalimat ampantas inti kasih tau pnge ian fiksi ayo mas nya i,0
252,dukung calon presiden gagal pindah on sibuk urus asing bawa kabur uang rupiah 35 t sadar asing kabur bawa uang dukung pribumi anjing mustahil asing pribumi diam sogok mental kacung uniform resource locator,0
253,user user user rabun budek gue tulis bicara,0
254,bismillah tahan sepo kutuk,0
255,user brahahahaaa cebong nya ahoker user cebong cebok user,0
256,update status bikin tugas tugas selesai ya jancuk jembut,0
257,user user muslim jabat negara be indak bangsa negara,0
258,12 ikan sembuh sakit selamat bagus laik jual pisah seleksi ikan cacat permanen pelihara user user user,0
259,a inya pribumi sadar lihat kecuali cina komunis misionaris abai twit usir cina indonesia,0
260,presiden tuduh rezim anti islam negeri umat uniform resource locator,0
261,user user manusia bangsat,0
262,user ya cina kenal wisata haram indonesia haha,0
263,user prabowo partai adil sejahtera bib asyik anggap antek prabowo antek partai adil sejahtera hidup dramatis,0
264,sahabat salah lovren bukti beda suku agama ras halang bina hubung umat manusia beda warna jalin pe emanan terima kasih lovren salah,0
265,user user user lae turun turun ideologi partai komunis indonesia lekat jiwa,0
266,user user kesal rokok motor iya kadang pengap tutup macet,0
267,user user maaf kunyuk user bro enak banget rasan sebar hoaks maaf sebar hoaks maaf mesti sapu user biar jera nih orang uniform resource locator,0
268,halo warga jaka a wakil kepala dinas tanam modal layan padu pintu provinsi daerah khusus ibukota jaka a denny wahyu haryanto wakil wakil gubernur provinsi daerah khusus ibukota jaka a buka acara 2018 junior chamber international jci indonesia nasional event,0
269,2 kuat jaring gubernur user tekan kuasa state of the a knowledge a bahasa rantau indonesia user,0
270,pandang tuan guru bajang hadap agama politik,0
271,user sedia berengsek,0
272,susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1,0
273,user user user dungu orang ganti presiden tau mikiiiir,0
274,user bokep cewek bispak bandung ngentot crot unduh full uniform resource locator uniform resource locator,0
275,user kampret complain raga tanggap fuck,0
277,lihat memek tante,0
278,user kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,0
279,user user user user ha lengkap orang bukti goblok sih,0
280,salah orang khalifah rasyidin rang orang kafir orang orang munafik orang munafik,0
281,user user user user user user user user user user user user user user user user user user suka nete uji nasional maklum,0
282,user nek lihat match chelsea sih menang mudah manchester united iya embuh sih chelsea kacrut ki prediksi,0
283,user ya kali tentara nasional indonesia suruh urus sampah plastik,0
284,user user khawatir manuver politik bijak laku rezim moga negara republik indonesia cinta amin,0
285,madi arya lapor rocky gerung polisi serius kitab suci fiksi rocky nyata salah hina tunggu anut agama a anggap kitab suci,0
286,user bajing tengik,0
287,pakai buruh cina rakyat anggur dasar rejim kodok,0
288,user user user user user user user user user user user user user user user user user user user user,0
289,rupiah haneul cute pacar perek on retweet,0
290,user user user user user user user user user user user user bilang anti asing asing tau wkwk,0
291,user suriah sekolah radikal rakit bom pulang indonesia ya aman,0
292,user kadang hidup kayak tai kadang berak orang beres tainya tangan iya,0
294,user user user user user user user haha kalah nih iya orang jahat kalah,0
295,user keanekaragaman budaya suku agama sungguh kaya djarot hadap pese a rakercabsu,0
296,user user cinta orde meng idola prabowo amp hary tanoe,0
297,tantang buka dada eh setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stresssssss nih hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka,0
298,user user user user belah duren ya dungu ya cebong maaf ya,0
299,2 orang orang yahudi nasrani al kitab taurat injil kenal muhammad,0
300,bubar hati amp front bela islam uniform resource locator,0
302,user teman teman kantor langgan cadar langsung bilang awas bom hela nafas,0
303,user pantat nih tusuk tusuk open bo wa 08157686707,0
304,user ancam bunuh presiden republik indonesia mas mesti lapor tegak hukum be indak ancam bunuh kepala negara,0
305,user kayak orang nyosor nete,0
306,user ngewe,0
307,user jebur cebur,0
308,partai adil sejahtera ulang balai kota rr bicara calon presiden balai kota ganti nama balai politik,0
309,user rencana user seret user adil ham pbb uniform resource locator,0
310,user bijak barang konsumen laku barang rusak cacat produksi konsumen puas produk hitung 7 tanggal beli nuser,0
311,kisah hidup muhammad lengkap unduh,0
312,jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi negara republik indonesia usir,0
313,user user user user user user we pipis onta cecer mari bau pesing,0
314,user user teriak lantang pm h pro asing pas tawar bantu asing bikin posko inti kompor keluarga korban pm h bilang 15 3,0
315,user user mari juang lantik 2019 gentar takut mata benang leher ujung tombak perut surut langkah bisu suara,0
316,user user user user user user user kayak monyet,0
317,survei metro televisi jokowi menang presiden hitung ya 45 kalah 46 salah judul maksud jokowi menang sumber zie bajrie,0
318,user user user user user user user user user user user user user user user user user user user user user user user,0
319,cuba tegak anime nih karakai jozu no takagi san nak feeling feeling cinta monyet zaman sekolah throwback habis 9 10 uniform resource locator,0
320,seru pesta budaya derau kuta kakak anegara,0
